heading,news_description,page_link
"Coronavirus | Day after record vaccination, M.P.’s vaccine numbers fall","After administering a record-breaking 16.9 lakh vaccine doses on single day on Monday — the highest among all States — Madhya Pradesh plummeted to a record low of only 4,563 shots on Tuesday, according to data on the CoWin portal . India posted an all-time high of 89 lakh doses on Monday, the first day of the new liberalised policy with the Centre procuring vaccines on behalf of the States. While many States had substantially increased the number of vaccines administered, M.P., Haryana and Karnataka had posted the most significant increases when compared to the average daily doses per month. Until its feat on Monday, M.P. had at most administered five lakh doses per day in June. While vaccination in most States dips around the weekend, it had plummeted to only 692 doses in the State on Sunday, a day before the drive. However, the daily doses in M.P. have remained above 5,000 in June.  Unless there is a revision to the data, Tuesday’s figures is would be an all-time low in Madhya Pradesh barring the Sunday anomaly. There were 3,100 vaccination sessions in the State on Monday, which and that fell to 264 on Tuesday with capital Bhopal only recording 453 inoculations on Tuesday from 150,000 on Monday. Media reports said that on Monday, which the Centre celebrates as International Yoga Day, M.P. had a concerted vaccination drive with Chief Minister, Shivraj Chouhan, personally visiting sites and monitoring progress. Karnataka too posted a decline from the Monday’s high with only 3.8 lakh shots on Tuesday evening compared to 11 lakh on Monday. However, the State has consistently administered over 3 lakh shots since June 5 and so the Tuesday's numbers aren't an aberration. Haryana which administered 5 lakh doses on Monday fell to about 74,000 on Tuesday which again isn't too far outside its normal range. The peaks it has attained in June are a little over 1 lakh doses a day. Uttar Pradesh, which administered 7.25 lakh doses on Monday followed it up with 7.41 lakh doses on Tuesday and this is above it's average of over 4 lakh doses daily. Maharashtra administered 5.48 lakh doses on Tuesday, more than the 3.83 lakh on Monday. On Tuesday, India had administered 51 lakh doses — a significant number against its average this month of a little above 35 lakh doses. Health Ministry officials on Tuesday insisted that Monday’s numbers weren’t a flash in the pan.  “The increase in vaccinations yesterday wasn't sudden. The average number of vaccinations was nearly 34 lakh per day from June 1 to June 21. To go from there to 88 lakh is possible, when vaccines and capacity is available. This was a result of coordinated planning between States and Centre and is expected to continue,” Rajesh Bhushan, Secretary, Ministry of Health said at a press conference on Tuesday. ",https://www.thehindu.com/news/national/coronavirus-day-after-record-vaccination-mps-vaccine-numbers-fall/article34915937.ece
Right to life should trump rights of patent-holders during pandemic: NHRC," National Human Rights Commission Chairperson Justice Arun Kumar Mishra on Tuesday said that the “right to life should prevail over the rights of patent-holders” so that life-saving medicines and vaccines for COVID-19 would be available to the poor. Justice Mishra was addressing an online discussion on the topic of the “State’s response to the COVID-19 pandemic” as a part of the 47th session of the United Nations Human Rights Council. He said the world was experiencing huge losses due to the COVID-19 pandemic and new challenges had emerged. Speaking about issues that were affecting human rights, he said online commerce had concentrated wealth in fewer hands. He added that education had suffered, healthcare infrastructure fell short and families were left destitute and children orphaned. “We cherish freedom of cyberspace, not to be misused to subvert the constitutional values,” he said. ",https://www.thehindu.com/news/national/right-to-life-should-trump-rights-of-patent-holders-during-pandemic-nhrc/article34914698.ece
MPs panel seeks survey on pandemic impact on malnutrition,"A parliamentary panel on Tuesday asked the Ministry of Women and Child Development to conduct a survey on the impact of the pandemic on anganwadi services and malnutrition levels among children. The Parliamentary Standing Committee on Education, Women, Children, Youth and Sports chaired by Rajya Sabha MP Vinay Sahasrabuddhe is learnt to have grilled the officials of the Ministry on the need for data to understand “how anganwadi services were delivered on the ground during the pandemic, and to assess the impact of COVID-19 on stunting and wasting levels,” according to a member. While the government has launched an app called Poshan Tracker to monitor delivery of services at 14 lakh anganwadis, the officials told the panel that the data is beginning to be uploaded only from June 1. “The Ministry has not been able to satisfy the committee. It said they have collected feedback from States, but there is no sanction for a survey”, another member told . The Ministry also made a presentation on children orphaned during COVID-19 and apprised the panel of various measures being taken to help them, including funds for family and institutional care, revising norms for child care institutions as well as maintaining monthly reports on foster care for such children. The panel is learnt to have expressed its disbelief on the NCPCR submission before the Supreme Court that there were 3,500 children orphaned during the pandemic. “This number is not justified when we know that lakhs of people have died due to COVID-19. The figure is too low.”Though the government has announced a corpus of ₹10 lakh from PM CARES for such children, “there has been no spending from PM CARES yet, and the responses from the Ministry were very ambiguous” the member said. ",https://www.thehindu.com/news/national/mps-panel-seeks-survey-on-pandemic-impact-on-malnutrition/article34915777.ece
Congress to attend all-party meeting on Kashmir,"The Congress has decided to attend the on June 24. The decision was taken on Tuesday after party president Sonia Gandhi held a virtual meeting with top leaders, including former Prime Minister Manmohan Singh, former Union Ministers Ghulam Nabi Azad, P. Chidambaram and veteran leader Karan Singh.  
Farooq Abdullah, Mehbooba Mufti to attend talks with PM Modi on June 24
It also comes after the People’s Alliance for Gupkar Declaration — an umbrella of mainstream parties in Jammu and Kashmir — decided to participate in the meeting. “The Congress has always favoured the process of dialogue and if Mr. Modi has made a beginning, we should attend. But the meeting should have a specific agenda,” Jammu and Kashmir Congress chief Ghulam Ahmad Mir said. For the last couple of days, senior Congress leaders including Mr. Chidambaram and Randeep Surjewala have been  and holding of elections. 

Accepted talks offer as it is unconditional: J&K leaders
“We believe that undoing it [taking away the status of full statehood] is a direct attack on democracy and constitutional principles,” Mr. Surjewala had said on Sunday. 
",https://www.thehindu.com/news/national/congress-to-attend-all-party-meet-on-kashmir/article34915398.ece
"Insistence on Class 12 CBSE, ICSE physical exams ‘irrational’, says Supreme Court","The Union of India’s question “who is to blame if a student dies” saw the Supreme Court toss out insistent pleas by some parents claiming that the COVID-19 graph is in free fall and the internal assessment schemes for  should be chucked in favour of physical exams. A Bench of Justices A.M. Khanwilkar and Dinesh Maheshwari on Tuesday stood by the Union’s principle that “every student’s life is precious”. Also read: Attorney General K.K. Venugopal, for the Union, said, “Suppose a number of students who attend written exams get the infection, suppose a student dies… Who is to blame? It is neither safe nor prudent to have written exams”. The court asked Andhra Pradesh, which intends to conduct the State Board exams but has deferred a final decision to July, to make its position clear in an affidavit by Wednesday. “If there is even a single fatality, we will make the State responsible,” it warned. Kerala had filed an affidavit opting for exams for Class 11. The court said it would pass orders on the State’s choice. The court found the insistence on physical exams “irrational”. Justice Maheshwari said students cannot be left in uncertainty about their health and future. Also read: The CBSE and the Council for Indian School Certificate Examinations (CISCE), which conducts the ICSE exams, shared the Union’s apprehensions about putting children in harm’s way, especially with medical experts warning about a looming third wave. “Children are most vulnerable, that too, without vaccination,” advocate J.K. Das, for the CISCE, said. The court said the CBSE and CISCE assessment schemes were “fair and reasonable” and caused no prejudice to the students. Senior advocate Vikas Singh, for a parents’ association, argued that students should be allowed, at the very threshold, to choose between internal assessment and written exams. Mr. Venugopal countered, “In the present system, a student gets the best of two worlds. If he or she has not scored good marks in the internal assessment, they can opt for physical exams which would be held when the situation is conducive. Mr. Singh’s suggestion takes away the student’s choice to improve his marks”. The Attorney General quelled apprehensions that different dates for declaration of results by the CBSE, CISCE and the State Boards would lead to students of one board stealing a march over the others. “The UGC would wait for all the boards to declare their results before announcing the dates for admissions to colleges and institutions,” he assured. Mr. Venugopal refuted claims that the assessment schemes facilitated “manipulation of marks”. He explained that every school would have a Result Committee to certify the marks based on reasoned decisions. “Besides, manipulation would mean forgery, which attracts a punishment of seven years’ imprisonment… Will any school principal want that?,” he stated. The top law officer objected to a submission that the CBSE and the CISCE should follow the same criteria in their respective assessment schemes. The court acknowledged his reasoning that the CBSE and the ICSE were “independent and autonomous bodies” and the criteria were fixed by experts after long deliberations. ",https://www.thehindu.com/news/national/insistence-on-class-12-cbse-icse-physical-exams-irrational-says-supreme-court/article34912343.ece
Indian students unable to reach Australia due to travel restrictions,"When 19-year old Pranavi Jamwal got admission last year into one of the world’s top ten political science programmes at Australia’s top university which has produced Nobel Laureates and Prime Ministers, she was thrilled. The only problem? Rather than mingling with fellow students at The Australian National University’s prestigious Canberra campus, she has been stuck at home in New Delhi, waking up for 4 a.m. online classes. “COVID has disrupted my plans, and the Australian government is unable to give any clear timeline when I will be allowed to enter the country, and it now looks that at least half my course will be online,” she said. “I’m the only student in my class who is trying to join the lectures online as all the others are on campus, so it is quite isolating. In Australia, they want to create a COVID-free environment, rather than learn to deal with COVID like Europe is doing.”Avtar Saini is in an even more dire situation. The 23-year- old, studying for a Bachelor of Professional Accounting at Holmes Institute in Queensland, was in the final year of his programme when he came home to Kurukshetra on March 4, 2020 on a family visit. Two weeks later, Australia shut its borders, leaving him stranded. “I was not aware they would ban our entry. I have been trying to defer classes, as it is hard to understand a mathematical subject online. But I may have to start online classes in July, as my visa is also expiring in October,” he said. “I have a rental house there on my contract, as well as a car for which I am still paying,” he added. Faced with closed borders, the number of Indian students heading to Australia has been sinking since the pandemic began. According to IDP Education, which cited Australian government data, Indian students granted an Australian visa dropped from 21,433 in 2019-20 to 11,200 in 2020-21. Last week, two Australian States announced plans to start a pilot programme to allow international students back into the country at the rate of about 800 per month. Australia’s High Commissioner to India Brian O’Farrell admits that the scope of the problem is much larger, but says this is an important first step. “We have over 470,000 people who are entitled to be in Australia, studying whether in postgraduate, research, undergraduate or other elements of education, and currently 150,000 of those are offshore,” he told  in a recent interview. “I'm not wishing to get their hopes up any higher. But what is positive is that two states, including Australia's largest state, only last week announced pilot programmes to demonstrate not just to the federal government, but to the Australian community, that international students can return to our shores without there being a community health problem,” he said. International students may be able to return at the end of the first semester in 2022. “I'm optimistic about next year. Do I think that's going to placate the students here in India who should have been in Australia? No, and I have great sympathy for them,” said Mr. O’Farrell. Deepesh Batra no longer believes such assurances from the Australian government. The 25-year-old was admitted into a Masters in Information Technology programme at the University of Wollongong and has deferred classes, rather than take them online. “They are misguiding students, giving false promises before each new intake, so that students are lured into applying. But each time, the timelines have been extended,” he said, noting that Australia was unwilling to commit to the “scientific approach” of allowing vaccinated students to enter the country. “A group of us have been writing emails to Mr. O’Farrell as well as the Australian Education Minister Alan Tudge, who has gone so far as to block some Indian students on Twitter, but there is no clarity,” he said, adding that the Indian Ministry of External Affairs also collected students’ details last month. Umang Kalia, a 20-year old from Ludhiana is struggling with online classes for a Bachelor’s degree in Nursing at Australia’s youngest university, Torrens University. “You cannot study a practical medical programme in this way. I have already failed one course, for which I had to pay tuition fees again,” he said. “Overall, I am paying ₹16 lakh for one year, including for sports and accommodation facilities that I cannot benefit from. They are offering a 5% scholarship which is not enough. My family has put all our savings so I could go to Australia, but there is no use in this,” he said. “We are not actively recommending Australia to any of our students right now,” said Akshay Chaturvedi, founder of Leverage Edu, an agency facilitating foreign study for Indian students. “We get about 2,000 applications each month, and Australia aspirants have dropped from 20% to less than 5%. Pre-COVID, Australia was leading the charts, but the scenario has shifted. The pilot programmes are good news, but there needs to be more clarity and better communication,” he added. Mr. O’Farrell believes that in the long run, Australia’s focus on health will pay off and make it competitive again as a destination for Indian students. “Firstly, its quality. We're a very small country, but we have universities in the top 100 in the world. Secondly, the fact that at a price point, it is more cost effective than North America and the U.K. And thirdly, they’ll be returning to a safe community as we've had a very light brush with COVID,” he said. ",https://www.thehindu.com/news/national/indian-students-unable-to-reach-australia-due-to-travel-restrictions/article34914112.ece
Four theatre commands likely to be raised by year-end,"While deliberations continue for a consensus on the creation of the military’s integrated theatre commands, the four proposed commands are likely be raised by year-end, according to a government official. On Tuesday, Chief of Defence Staff (CDS) Gen. Bipin Rawat chaired a meeting with the Vice Chiefs of the three Services, the Chief of Integrated Defence Staff and representatives from the Ministries of Defence, Home and Finance to iron out differences on the integrated theatre commands’ creation. While details of the deliberations were not known, an official source said more deliberations would be held. It was expected that Prime Minister Narendra Modi would make an announcement on the creation of the commands, which would be the biggest reorganisation of the Indian armed forces since Independence, and the commands were likely to be raised by year-end, two official sources said. The four commands planned are air defence command, maritime theatre command, integrated eastern theatre command and integrated western theatre command. “A maritime theatre commander will not be appointed right away. The command will be first raised and commander appointed later,” a source said. Several officials had stated that the Indian Air Force (IAF) has major reservations over the creation of the commands. There have also been questions on the naming of the commands. The IAF was for all commands to be rotational and so wanted the naming to be domain specific, one of the sources said. “It has been broadly agreed but initially they would be with respective service commander till the command stabilises,” the source stated. The need was integrated joint planning and not coordinated or syncing of operations as was done now. Single Service operations were not efficient or made the best use of the resources, the official said . The proposed change was that at the highest level, instead of one Service making a single plan that was then routed through the headquarters and the Integrated Defence Command (IDS), in the new plan, they would be held by a three- star commander and integrated with other two domains, the source explained. “These plans will be presented to Chiefs of Staff Committee (CoSC) as opposed to a single plan being presented to a Chief,” the official stated. “The operational functions will shift to theatre commands, which will involve the creation of joint structures in headquarters IDS,” the source noted. Stating that there would be little to no financial outflow involved, the source said there was only creation of a headquarters and no movement of assets or personnel. “It is only reorganising ourselves in a better manner within existing resources,” the official added. ",https://www.thehindu.com/news/national/four-theatre-commands-likely-to-be-raised-by-year-end/article34913243.ece
NIA arrests two in Shaurya Chakra awardee murder case,"The National Investigation Agency (NIA) has arrested two alleged Khalistan Liberation Force (KLF) accomplices in connection with the killing of Comrade Balwinder Singh Sandhu, a Shaurya Chakra awardee, in Tarn Taran last year. The accused have been identified as Harbhinder Singh and Navpreet Singh. The agency has alleged that they are close aides of the chargesheeted accused, Inderjit Singh, who had conducted reconnaissance, and were involved in the conspiracy to kill the Shaurya Chakra awardee. “Both the accused were produced before the NIA Special Court, Mohali, on Tuesday and have been taken into NIA custody for four days,” the agency said. The case was initially registered at the Bhikhiwind police station in Tarn Taran after Comrade Balwinder Singh was killed at his residence-cum-school on October 16, 2020. The  against eight accused persons in the case. ",https://www.thehindu.com/news/national/nia-arrests-two-in-shaurya-chakra-awardee-murder-case/article34912345.ece
"Coronavirus | Delta plus is a variant of concern, says government","The Centre on Tuesday termed the emerging  a ‘variant of concern’ just hours after Health Secretary Rajesh Bhushan and chairman, National Empowered Group on Vaccination V.K. Paul said it was only a ‘variant of interest (VoI)’. A variant of concern (VoC) carries the highest threat perception of a coronavirus variant, which is characterised by increased infectivity, transmissibility or resistance to vaccines and treatment. A VoI is a degree lower. Also read | The World Health Organisation, as of June 14, had classified  as well as offshoots — AY.1 and AY.2 — as . Delta plus, as the variant is sometimes referred to, is an informal name. So far there are only four international VoC (alpha, beta, gamma and delta) with the off-shoots, AY.1 and AY.2 classified as off-shoots of Delta. “Delta variant is a Variant of Concern and has been found in 80 countries. Delta plus is in 9 countries and as of now is in the category of variant of interest and is not yet in the variant of concern categor,” said Bhushan at the weekly press briefing on Tuesday. However in a press statement, the Ministry first referred to it as a ‘variant of concern’ then issued a correction calling it a ‘variant of interest’ and then again reverted to calling it a ‘variant of concern’. A scientist connected with the consortium, INSACOG, (Indian SarsCov2 Genomic Consortia) told  on condition of anonymity that AY.1 was “always” a variant of concern but was wrongly classified by the Health Ministry as a VoI. On Tuesday, the Health Ministry wrote to States to take up immediate containment measures, enhanced testing, tracking and vaccination in districts and clusters where the Delta Plus variant is found and ensure that “adequate samples” of positive persons be promptly sent to designated laboratories of INSACOG so that the clinical epidemiological correlations could be made. Though a record 8.8 million vaccines administered on Monday only 46% were administered to women. This “gender imbalance” needed to be corrected in the days ahead, said Dr. Paul. Also read | “Where this imbalance exists, it has to be addressed and we have to make it easier for women to access vaccines and this is a lesson for the future,” he said at the press briefing. ",https://www.thehindu.com/news/national/coronavirus-delta-plus-is-a-variant-of-concern-says-government/article34911668.ece
Afghan violence has risen: Jaishankar,"Talks between the Afghanistan government and the Taliban have not resulted in any reduction in violence, said External Affairs Minister S. Jaishankar, pointing out that reports from the U.N. Assistance Mission in Afghanistan (UNAMA) showed a major increase in violence despite the talks and a U.S.-Taliban agreement last year. However, he said India is ‘supportive’ of the Intra-Afghan negotiations, and called for the United Nations to play a “leading role” in the reconciliation process. “Violence has only increased, especially after May 1,” Mr. Jaishankar told the U.N. Security Council at a special meeting on Tuesday, as he referred to the May deadline that had originally been agreed to as a date for the U.S. troops pull-out from Afghanistan. “The country has been witnessing targeted attacks on religious and ethnic minorities, girl students, Afghan security forces, Ulemas [clerics], women occupying positions of responsibility, journalists, civil rights activists and youth,” he said, calling for a “permanent and comprehensive ceasefire”.  
Indian delegation met Taliban in Doha, says Qatari official
According to the UNAMA report that was detailed by U.N. Secretary General’s Special Representative Deborah Lyons, civilian casualties have increased by 29% in the first quarter of 2021, compared to last year, and women casualties increased by 37% and child casualties by 23%. Ms. Lyons said not only has the Taliban captured more territory in the last few weeks but also seems poised to take over key cities once the foreign troops pull out. American envoy to the U.N. Linda Thomas Greenfield defended the U.S. move to pull out troops as a carefully considered decision, but warned the Taliban that taking the “military path” would not bring the group legitimacy. Without making any direct references to Pakistan or any particular terror group, Mr. Jaishankar called for an end to “terrorist safe havens” and “terrorist supply chains” as well as cross-border terror, and said the international community must ensure that transit trade from Afghanistan to the “high seas” is allowed. Also read |  “It is equally important to ensure that the territory of Afghanistan is not used by terrorist groups to threaten or attack any other country.”Afghanistan Foreign Minister Hanif Atmar, who attended the UNSC meeting, was more candid accusing the Taliban of keeping its links with the al-Qaeda and Pakistan-based terror groups including the Lashkar-e-Toiba and the Tehreek-e-Taliban Pakistan. He said as the withdrawal of the U.S.-NATO troops is completed, the international community would see that the Taliban has not kept any of its promises, including the promise to cut ties with international terrorism, to reduce violence and work towards a ceasefire and to reach a political settlement with the government of Afghanistan. 

No military solution’ to Afghan situation, U.S. tells Taliban Speaking at another web conference on Tuesday, Afghanistan President Ashraf Ghani also said the Taliban was putting its “relationship with its network and sponsors” ahead of the Afghan people, and called on the militant group to “make a choice” between the LeT, the Jaish-e-Mohammad, the al-Qaeda and other groups or make a “common bond of patriotism” with the Afghan people. ",https://www.thehindu.com/news/national/afghan-violence-has-risen-jaishankar/article34911013.ece
Arnab Goswami booked in TRP manipulation case,"The Mumbai Police has named Arnab Goswami, the editor-in-chief of Republic TV and owner of ARG Outlier Media, as an accused in the Television Ratings Points manipulation case. Mr. Goswami has been named along with Shivendu Mulekar, chief operating officer Priya Mukherjee and chief financial officer Shiva Sundaram in the 1,800-page chargesheet. On October 8, 2020, Mumbai Police Commissioner Param Bir Singh had said that a which involved Republic TV, Box Cinema, and Fakt Marathi. He had said that the channels were manipulating TRPs and were involved in distorting the system used by the Broadcast Audience Research Council (BARC) to rate television channels. On March 17, 2021, the Bombay High Court had asked why the in the FIR in the case. The other accused include Partho Dasgupta, former chief executive office of BARC, and14 others. They have been charged under Sections 409 (criminal breach of trust by public servant, or by banker, merchant or agent), 420 (cheating and dishonestly inducing delivery of property), 406 (punishment for criminal breach of trust), 465 (punishment for forgery), 468 (forgery for purpose of cheating), 201 (causing disappearance of evidence of offence, or giving false information to screen offender), 204 (destruction of document or electronic record to prevent its production as evidence), and 212 (harbouring offender) of the Indian Penal Code. ",https://www.thehindu.com/news/national/arnab-goswami-booked-in-trp-manipulation-case/article34910818.ece
INX Media case | Delhi court adjourns hearing against P. Chidambaram for July 9," A Delhi court on Tuesday adjourned for two weeks a money laundering case allegedly involving former union minister P. Chidambaram, in relation to INX Media scam. Special Judge MK Nagpal posted the matter for hearing on July 9 due to ongoing coronavirus pandemic. The judge noted that the court was only hearing urgent matters. Mr Chidambaram was arrested by the Central Bureau of Investigation (CBI) in the INX Media corruption case on August 21, 2019. On October 16, 2019, the ED arrested him in a related money-laundering case. Six days later, on October 22, the apex court granted bail to Mr Chidambaram in the case lodged by the CBI. In the ED case, he got bail on December 4, 2019. The CBI had registered its case on May 15, 2017, alleging irregularities in a Foreign Investment Promotion Board (FIPB) clearance granted to the INX Media group for receiving overseas funds of ₹305 crore in 2007, during Chidambaram's tenure as finance minister. Subsequently, the ED had lodged the money-laundering case. His son Karti Chidambaram was arrested by CBI in February 2018 and he was granted bail in March 2018 in INX Media corruption case. He was granted interim bail from the Delhi high court in the money laundering case. ",https://www.thehindu.com/news/national/delhi-court-adjourns-inx-media-case-against-p-chidambaram-for-july-9/article34909740.ece
Rural areas administered more doses than urban in record COVID vaccination on June 21: Government," As India achieved a ""historic milestone"" of administering 88.09 lakh coronavirus vaccine doses in a single day on June 21, nearly 64 per cent of the jabs were given in rural areas, the government said on Tuesday.  Madhya Pradesh administered the maximum number of doses on June 21, followed by Karnataka, Uttar Pradesh, Bihar, Haryana, Gujarat, Rajasthan, Tamil Nadu, Maharashtra and Assam, an official said.  Addressing a joint press conference on the pandemic situation and vaccination status, the official said, ""A historic milestone was achieved on 21st June 2021 -- 88.09 lakh doses administered in a single day."" Of the doses, 36.32 per cent were administered in urban areas and 63.68 per cent in rural areas, the official said.  Since the vaccination began in mid-January, India has administered 29.16 crore doses of COVID-19 vaccines till 3 pm on June 22, he said.  The government also said the coronavirus situation has been improving in the country but stressed on following COVID-19-appropriate behaviours.  It said there has been an almost 90 per cent decline in India's daily COVID-19 cases as compared to the highest peak reported on May 7. It said 22 cases of delta plus variant of the coronavirus have been detected in the country so far, and added that it's still not a variant of concern.  Of the 22 cases of delta plus variant, 16 have been reported from Ratnagiri and Jalgaon in Maharashtra and the rest from Madhya Pradesh and Kerala, the government added.  India recorded less than 50,000 new coronavirus infections, the lowest in 91 days, taking the total tally of cases to 2,99,77,861, while active cases fell below 7 lakh after 79 days, according to the Union Health Ministry data updated on Tuesday.  A total of 42,640 Covid infections were reported in a day, while the death toll climbed to 3,89,302 with 1,167 daily fatalities, the lowest in 68 days. ",https://www.thehindu.com/news/national/rural-areas-administered-more-doses-than-urban-in-record-covid-vaccination-on-june-21-government/article34908192.ece
"Stop playing politics over pandemic, BJP tells Rahul","Hours after Congress leader Rahul Gandhi released a ‘white paper’ on the Union government’s handling of COVID-19 crisis and termed it disastrous, the BJP accused him of playing politics over the pandemic and of the Congress-ruled States managing the pandemic badly. BJP national spokesperson Sambit Patra addressed a press conference at the party’s headquarters in New Delhi to launch an attack on the Congress. “Since yesterday we have been fearing this. Whenever something good happens in our fight against coronavirus, the Congress and Rahul Gandhi specially do something to derail it,” he said. “Yesterday was a significant day when India became the first country in the world to administer 87 lakh vaccine doses in one day. People seemed excited and jubilant. There is a feeling that India is winning in its fight against coronavirus, just then Rahul Gandhi spoke of white paper and tried to derail it,” he stated. “Whenever we are at a crossroads in our fight, Rahul Gandhi and the Congress party have tried to derail the efforts by playing politics. In fact, the Congress has really worked tirelessly to create hurdles and obstacles in our path,” he alleged. Mr. Patra accused the Congress-led States of mishandling the pandemic, even saying that the second wave began with a Congress-ruled State. The most number of those infected were from the Congress-ruled States and so were the most number of deaths. The maximum vaccine hesitancy was seen in the Congress-ruled States and so was the highest COVID-19 positivity rate, he observed. “The demand for decentralisation of vaccines came from the Congress-ruled States and the U-turn demanding centralisation too came from them. Instead of virtual press conferences and white papers, Rahul Gandhi should go to such States and give them this data,” he said. Mr. Patra called Mr. Gandhi “confused” and charged the Congress with making contradictory demands. “First they called the lockdown ‘Tughlaki’, then they questioned why there was no lockdown.... They promoted vaccine hesitancy... I would like to ask Rahul Gandhi how long will he conduct just virtual press conferences? When will you do some real work? Go to the States ruled by your party and see the situation there. How vaccines are being wasted in Rajasthan, how vaccine profiteering is happening in Punjab and how Chhattisgarh is misusing vaccines. Go to the ground and survey,” he added. ",https://www.thehindu.com/news/national/stop-playing-politics-over-pandemic-bjp-tells-rahul/article34908165.ece
No balance doses of direct state procurement pending with Covid vaccine manufacturers: Government," The health ministry on Tuesday said the Centre had ensured that the full supplies of COVID-19 vaccines under direct state procurement were provided to the States concerned before June 21. The ministry issued a statement, saying certain media reports have alleged non-supply of free vaccines for the 18-44 priority age group to the Delhi government amid the ongoing free COVID-19 vaccination drive. ""It is clarified that the Government of India had ensured that full supplies of COVID-19 vaccines under the direct state procurement were provided to the concerned States before June 21,"" the statement said. According to the state procurement data, the allocated 5.6 lakh doses of direct state procurement were supplied to Delhi before June 21 by the vaccine manufacturers. Further, an additional 8.8 lakh vaccine doses under the Centre's procurement were provided to Delhi for free and more are in the pipeline, which will be supplied by June-end, the statement said. As on June 22, Delhi has over 9.9 lakh unutilised doses of Covid vaccines, it added. With effect from June 21, both the state government and Government of India supplies, irrespective of the type of supply, are to be used to vaccinate people above 18 years of age as all categories of priority groups are now unified and are to be provided vaccination for free at the state-designated government Covid vaccination centres (CVCs), the statement said. ",https://www.thehindu.com/news/national/no-balance-doses-of-direct-state-procurement-pending-with-covid-vaccine-manufacturers-government/article34906481.ece
PM hails ‘Centre-State bhagidari’ in ushering ‘reforms by conviction and incentives’ during Covid,"India has moved from a model of ‘reforms by stealth and compulsion’ to a new model of ‘reforms by conviction and incentives’, Prime Minister Narendra Modi said on Tuesday, referring to States being granted additional borrowing limits last year under a reform-linked window.  Raising enough resources for public welfare while ensuring sustainability is proving to be one of the biggest challenges for governments during the pandemic, the Prime Minister pointed out, but Indian States were able to borrow an extra ₹1.06 lakh crore in 2020-21.   “For a large nation with complex challenges as ours, this was a unique experience. We have often seen that for various reasons, schemes and reforms remain un-operational often for years,” he said in a post on the job search and social networking portal LinkedIn.  Seventeen States that facilitated Ration card portability and installed electronic point of sale devices at fair price shops, were granted additional borrowings amounting to ₹37,600 crore, the Prime Minister noted. Similarly, 20 States completed reforms to ease the red tape faced by businesses to avail borrowings of ₹39,521 crore.  “The third reform required States to notify floor rates of property tax and of water & sewerage charges, in consonance with stamp duty guideline values for property transactions and current costs respectively, in urban areas. 11 states completed these reforms and were granted additional borrowing of ₹15,957 crore,” he added, stressing that the urban poor would benefit the most from this step.   The least traction was seen for the Union government’s reform idea of replacing free electricity for farmers with a Direct Benefit Transfer. States were asked to frame a scheme with actual implementation in one district on a pilot basis by the end of 2021, for an additional borrowing limit of 0.15% of GSDP. Loans worth another 0.10% of GSDP were linked to reducing the gap between revenues and costs and reducing technical and commercial losses in the power sector. “13 states implemented at least one component, while 6 states implemented the DBT component. As a result, ₹13,201 crore of additional borrowings was permitted,” the Prime Minister said in his post.   “This nudge for reform is rare in Indian public finance. This was a nudge, incentivising the states to adopt progressive policies to avail additional funds. The results of this exercise are not only encouraging but also run contrary to the notion that there are limited takers for sound economic policies,” Mr. Modi emphasised.  ",https://www.thehindu.com/news/national/pm-hails-centre-state-bhagidari-in-ushering-reforms-by-conviction-and-incentives-during-covid/article34905689.ece
U.K. liaison officer joins Navy’s information fusion centre,"A United Kingdom liaison officer on Tuesday joined the Indian Navy’s Information Fusion Centre for Indian Ocean Region (IFC-IOR), which is meant for maritime domain awareness. The centre is located in Gurugram. “Lt Cdr Stephen Smith will be based full-time at the centre, working directly with the Indian armed forces and fellow liaison officers from partner nations to enhance maritime domain awareness in the region,” a statement from the U.K. High Commission said. This is an enduring commitment from the U.K. and a new Royal Navy officer will be posted here every two years. The U.K. formally confirmed accepting India’s offer to place a liaison officer in the IFC-IOR in 2019. “The IFC-IOR is an excellent platform to enable closer engagement and ensure greater sharing of information on vessels of interest. The U.K. and the Indian armed forces already enjoy high levels of interoperability, which will be on full display during the upcoming visit of the U.K.’s Carrier Strike Group, led by one of our largest aircraft carriers – HMS Queen Elizabeth,” said Brig Gavin Thompson, Defence Adviser at the High Commission. The IFC-IOR was set up in 2018 to coordinate with regional countries on maritime country and act as a regional repository of maritime data. It presently has linkages with 21 partner countries and 22 multi-national agencies across the globe. International Liaison Officers (ILO) from 13 countries have been invited, and ILOs from countries had joined earlier- Australia, France, Japan and the U.S.. The U.K. is the 5th country to post an ILO. ",https://www.thehindu.com/news/national/britain-posts-liaison-officer-at-indian-navys-information-fusion-centre/article34905498.ece
